iter	MultiRMSE
0	3.623163893
1	3.595990164
2	3.569020238
3	3.556545565
4	3.528994043
5	3.501752346
6	3.475489204
7	3.449423036
8	3.423552364
9	3.397875722
10	3.372391654
11	3.346451526
12	3.320803479
13	3.295444419
14	3.270728587
15	3.246198123
16	3.221499678
17	3.197338431
18	3.173358393
19	3.149558206
20	3.12593652
21	3.102241142
22	3.078974334
23	3.055882027
24	3.032962912
25	3.010215691
26	2.987639074
27	2.965231781
28	2.954606836
29	2.932447285
30	2.910245944
31	2.8884191
32	2.866755957
33	2.845133369
34	2.823755154
35	2.802576991
36	2.79249586
37	2.771539967
38	2.750753418
39	2.730122767
40	2.709713569
41	2.689390718
42	2.669220288
43	2.649201137
44	2.629332128
45	2.609612138
46	2.590179428
47	2.570753083
48	2.551684662
49	2.532832484
50	2.514194275
51	2.495337818
52	2.476622785
53	2.458048115
54	2.439612754
55	2.421315659
56	2.403155792
57	2.385132124
58	2.367243633
59	2.349894144
60	2.332269938
61	2.314777914
62	2.29741708
63	2.280647882
64	2.263543023
65	2.247088987
66	2.23023582
67	2.213509052
68	2.196907734
69	2.180430927
70	2.164077695
71	2.147847113
72	2.13173826
73	2.115750223
74	2.100434352
75	2.085293085
76	2.070324592
77	2.055527066
78	2.040898717
79	2.025591977
80	2.010400038
81	1.995322038
82	1.980357123
83	1.965504445
84	1.950763162
85	1.936132438
86	1.921611445
87	1.907995724
88	1.893685756
89	1.879483113
90	1.86538699
91	1.851396588
92	1.838336115
93	1.824548595
94	1.81086448
95	1.79814671
96	1.78466061
97	1.771275655
98	1.757991088
99	1.744806155
100	1.73172011
101	1.719612752
102	1.706715656
103	1.693915289
104	1.681210925
105	1.668601843
106	1.65608733
107	1.643666675
108	1.631339175
109	1.619104131
110	1.606960851
111	1.594908645
112	1.583808336
113	1.571929774
114	1.560140301
115	1.548439249
116	1.536825955
117	1.52529976
118	1.513860012
119	1.502506063
120	1.492096709
121	1.481807231
122	1.470693677
123	1.459663474
124	1.448715998
125	1.437850629
126	1.427066749
127	1.416363749
128	1.410726296
129	1.400145849
130	1.389644755
131	1.37922242
132	1.368878252
133	1.358611665
134	1.348422078
135	1.3391378
136	1.333841453
137	1.323837642
138	1.31390886
139	1.304054544
140	1.294274135
141	1.284567079
142	1.274932827
143	1.265370831
144	1.256672211
145	1.247247169
146	1.237892816
147	1.22860862
148	1.219394055
149	1.2102486
150	1.201171736
151	1.192162948
152	1.183221726
153	1.174347563
154	1.165539957
155	1.156798407
156	1.148122419
157	1.139511501
158	1.130965165
159	1.122482927
160	1.114064305
161	1.105708823
162	1.098143523
163	1.089907447
164	1.081733141
165	1.073620143
166	1.065567992
167	1.057576232
168	1.050374616
169	1.042496806
170	1.03467808
171	1.026917995
172	1.01921611
173	1.011571989
174	1.0039852
175	0.9964553108
176	0.9889818961
177	0.9815645321
178	0.9742027982
179	0.9668962774
180	0.9596445555
181	0.9524472215
182	0.9453038675
183	0.9382140886
184	0.9311774831
185	0.9241936522
186	0.9172621999
187	0.9103827336
188	0.9035548632
189	0.8967782019
190	0.8900523656
191	0.883376973
192	0.8767516458
193	0.8701760086
194	0.8636496887
195	0.8571723162
196	0.8507435239
197	0.8443629477
198	0.8380302257
199	0.8317449991
200	0.8255069118
201	0.8193156101
202	0.8131707432
203	0.8070719627
204	0.8010189231
205	0.7950112813
206	0.7890486969
207	0.7831308318
208	0.7772573507
209	0.7714279207
210	0.7656422114
211	0.7598998949
212	0.7542006458
