iter	Passed	Remaining
0	128	128699
1	129	64409
2	129	42982
3	129	32241
4	129	25792
5	129	21497
6	129	18437
7	130	16146
8	130	14356
9	130	12928
10	130	11757
11	130	10779
12	131	9950
13	131	9240
14	131	8629
15	131	8096
16	131	7621
17	132	7204
18	132	6829
19	132	6490
20	132	6185
21	132	5905
22	133	5652
23	133	5419
24	133	5206
25	133	5012
26	134	4832
27	134	4669
28	134	4509
29	134	4363
30	135	4224
31	135	4095
32	135	3975
33	135	3859
34	136	3751
35	136	3649
36	136	3552
37	136	3460
38	136	3374
39	137	3292
40	137	3213
41	137	3139
42	137	3068
43	138	2999
44	138	2934
45	138	2872
46	138	2812
47	138	2756
48	139	2702
49	139	2649
50	139	2598
51	139	2550
52	140	2503
53	140	2458
54	140	2415
55	140	2373
56	141	2332
57	141	2293
58	141	2255
59	141	2219
60	141	2184
61	142	2150
62	142	2117
63	142	2084
64	142	2053
65	142	2023
66	143	1994
67	143	1965
68	143	1938
69	143	1912
70	144	1885
71	144	1860
72	144	1836
73	144	1813
74	145	1789
75	145	1765
76	145	1742
77	145	1721
78	145	1701
79	146	1681
80	146	1661
81	146	1642
82	147	1624
83	147	1606
84	147	1588
85	147	1571
86	148	1554
87	148	1537
88	148	1521
89	148	1504
90	149	1488
91	149	1472
92	149	1456
93	149	1441
94	149	1427
95	149	1412
96	150	1398
97	150	1384
98	150	1371
99	150	1358
100	151	1345
101	151	1333
102	151	1320
103	151	1309
104	152	1298
105	152	1286
106	152	1274
107	152	1263
108	153	1252
109	153	1240
110	153	1230
111	153	1219
112	153	1208
113	154	1198
114	154	1188
115	154	1178
116	154	1168
117	155	1159
118	155	1150
119	155	1141
120	155	1132
121	156	1123
122	156	1114
123	156	1105
124	156	1097
125	157	1089
126	157	1080
127	157	1072
128	157	1064
129	157	1057
130	158	1049
131	158	1042
132	158	1034
133	158	1027
134	159	1020
135	159	1012
136	159	1005
137	159	998
138	160	991
139	160	985
140	160	978
141	160	972
142	161	966
143	161	960
144	161	953
145	161	947
146	162	940
147	162	934
148	162	928
149	164	932
150	164	925
151	164	919
152	165	913
153	165	908
154	165	902
155	165	896
156	165	891
157	166	885
158	166	880
159	166	875
160	166	869
161	167	864
162	167	858
163	167	853
164	167	848
